Site ID,Site name,Sample date/time,E. coli value (orgs/100 mL),E. coli qualifier
291600,Launching Place,1/2/2020 10:40,96,=
291600,Launching Place,1/8/2020 8:15,130,=
290400,Healesville,1/8/2020 8:45,160,=
4991,Warrandyte,1/8/2020 9:30,190,=
4940,Kew,1/8/2020 10:35,52,=
291600,Launching Place,1/15/2020 8:15,230,=
290400,Healesville,1/15/2020 8:55,250,=
4991,Warrandyte,1/15/2020 9:50,31,=
4940,Kew,1/15/2020 11:15,250,=
4940,Kew,1/20/2020 12:45,4400,=
4991,Warrandyte,1/20/2020 13:25,390,=
290400,Healesville,1/20/2020 14:10,200,=
291600,Launching Place,1/20/2020 15:00,640,=
4940,Kew,1/29/2020 12:40,98,=
4991,Warrandyte,1/29/2020 13:50,98,=
290400,Healesville,1/29/2020 14:50,130,=
291600,Launching Place,1/29/2020 15:25,180,=
4940,Kew,2/3/2020 13:00,460,=
4991,Warrandyte,2/3/2020 14:10,180,=
290400,Healesville,2/3/2020 15:20,610,=
291600,Launching Place,2/3/2020 15:55,640,=
4940,Kew,2/12/2020 8:25,85,=
4991,Warrandyte,2/12/2020 12:45,210,=
290400,Healesville,2/12/2020 13:30,430,=
291600,Launching Place,2/12/2020 14:15,360,=
291600,Launching Place,2/19/2020 10:15,2600,=
290400,Healesville,2/19/2020 10:55,2500,=
4991,Warrandyte,2/19/2020 11:30,910,=
4940,Kew,2/19/2020 12:29,10000,=
4940,Kew,2/26/2020 8:15,1900,=
4991,Warrandyte,2/26/2020 11:05,85,=
290400,Healesville,2/26/2020 11:50,200,=
291600,Launching Place,2/26/2020 12:45,360,=
291600,Launching Place,3/4/2020 8:15,230,=
290400,Healesville,3/4/2020 8:55,230,=
4991,Warrandyte,3/4/2020 9:40,41,=
4940,Kew,3/4/2020 10:30,86,=
4940,Kew,12/2/2020 10:05,500,=
4991,Warrandyte,12/2/2020 10:50,31,=
290400,Healesville,12/2/2020 12:10,110,=
291600,Launching Place,12/2/2020 12:45,310,=
291600,Launching Place,12/9/2020 8:15,640,=
290400,Healesville,12/9/2020 8:35,1300,=
4991,Warrandyte,12/9/2020 9:20,41,=
4940,Kew,12/9/2020 10:10,130,=
291600,Launching Place,12/16/2020 8:10,220,=
290400,Healesville,12/16/2020 8:35,120,=
4991,Warrandyte,12/16/2020 9:25,85,=
4940,Kew,12/16/2020 10:35,20,=
291600,Launching Place,12/23/2020 8:00,1200,=
290400,Healesville,12/23/2020 8:30,330,=
4991,Warrandyte,12/23/2020 9:10,160,=
4940,Kew,12/23/2020 10:15,2900,=
291600,Launching Place,12/30/2020 8:00,200,=
290400,Healesville,12/30/2020 8:25,140,=
4991,Warrandyte,12/30/2020 9:10,74,=
4940,Kew,12/30/2020 9:55,52,=
291600,Launching Place,1/6/2021 8:05,720,=
290400,Healesville,1/6/2021 8:35,350,=
4991,Warrandyte,1/6/2021 9:15,280,=
4940,Kew,1/6/2021 9:55,260,=
291600,Launching Place,1/13/2021 8:00,160,=
290400,Healesville,1/13/2021 8:25,220,=
4991,Warrandyte,1/13/2021 9:15,31,=
4940,Kew,1/13/2021 10:25,62,=
291600,Launching Place,1/20/2021 8:00,170,=
290400,Healesville,1/20/2021 8:30,150,=
4991,Warrandyte,1/20/2021 9:20,63,=
4940,Kew,1/20/2021 10:20,120,=
291600,Launching Place,1/28/2021 8:10,580,=
290400,Healesville,1/28/2021 8:30,360,=
4991,Warrandyte,1/28/2021 9:15,230,=
4940,Kew,1/28/2021 10:15,210,=
291600,Launching Place,2/3/2021 8:20,400,=
290400,Healesville,2/3/2021 8:40,160,=
4991,Warrandyte,2/3/2021 9:30,52,=
4940,Kew,2/3/2021 10:40,350,=
291600,Launching Place,2/10/2021 8:05,510,=
290400,Healesville,2/10/2021 8:30,220,=
4991,Warrandyte,2/10/2021 9:15,98,=
4940,Kew,2/10/2021 10:30,170,=
291600,Launching Place,2/17/2021 8:10,410,=
290400,Healesville,2/17/2021 8:30,140,=
4991,Warrandyte,2/17/2021 9:25,63,=
4940,Kew,2/17/2021 10:15,120,=
291600,Launching Place,2/24/2021 8:25,1500,=
290400,Healesville,2/24/2021 8:50,370,=
4991,Warrandyte,2/24/2021 9:40,73,=
4940,Kew,2/24/2021 10:45,130,=
291600,Launching Place,3/3/2021 8:30,260,=
290400,Healesville,3/3/2021 9:05,160,=
4991,Warrandyte,3/3/2021 10:00,10,=
4940,Kew,3/3/2021 11:05,400,=
291600,Launching Place,12/1/2021 9:00,680,=
290400,Healesville,12/1/2021 9:45,160,=
4991,Warrandyte,12/1/2021 10:30,30,=
4940,Kew,12/1/2021 11:10,98,=
291600,Launching Place,12/8/2021 8:25,350,=
290400,Healesville,12/8/2021 9:09,2100,=
4991,Warrandyte,12/8/2021 10:20,340,=
4940,Kew,12/8/2021 11:17,170,=
291600,Launching Place,12/15/2021 8:35,280,=
290400,Healesville,12/15/2021 9:05,190,=
4991,Warrandyte,12/15/2021 9:53,130,=
4940,Kew,12/15/2021 11:10,41,=
291600,Launching Place,12/22/2021 8:15,420,=
290400,Healesville,12/22/2021 8:35,170,=
4991,Warrandyte,12/22/2021 9:20,20,=
4940,Kew,12/22/2021 11:10,130,=
291600,Launching Place,12/30/2021 8:20,400,=
290400,Healesville,12/30/2021 8:55,160,=
4991,Warrandyte,12/30/2021 9:40,10,<
4940,Kew,12/30/2021 10:40,63,=
291600,Launching Place,1/5/2022 8:15,110,=
290400,Healesville,1/5/2022 8:45,52,=
4991,Warrandyte,1/5/2022 9:30,31,=
4940,Kew,1/5/2022 10:10,140,=
291600,Launching Place,1/12/2022 8:15,170,=
290400,Healesville,1/12/2022 8:45,220,=
4991,Warrandyte,1/12/2022 9:30,74,=
4940,Kew,1/12/2022 10:35,180,=
291600,Launching Place,1/19/2022 8:20,320,=
290400,Healesville,1/19/2022 8:45,130,=
4991,Warrandyte,1/19/2022 9:30,63,=
4940,Kew,1/19/2022 10:25,41,=
291600,Launching Place,1/27/2022 8:20,290,=
290400,Healesville,1/27/2022 8:50,640,=
4991,Warrandyte,1/27/2022 9:35,1100,=
4940,Kew,1/27/2022 10:40,910,=
4940,Kew,2/2/2022 9:55,320,=
4991,Warrandyte,2/2/2022 10:45,2300,=
290400,Healesville,2/2/2022 11:25,220,=
291600,Launching Place,2/2/2022 11:55,370,=
4940,Kew,2/9/2022 10:40,130,=
4991,Warrandyte,2/9/2022 12:00,110,=
290400,Healesville,2/9/2022 12:55,220,=
291600,Launching Place,2/9/2022 13:20,350,=
291600,Launching Place,2/16/2022 8:35,430,=
290400,Healesville,2/16/2022 8:55,130,=
4991,Warrandyte,2/16/2022 9:55,86,=
4940,Kew,2/16/2022 11:10,72,=
4940,Kew,2/23/2022 9:50,74,=
4991,Warrandyte,2/23/2022 10:45,230,=
290400,Healesville,2/23/2022 11:35,74,=
291600,Launching Place,2/23/2022 12:10,300,=
291600,Launching Place,3/2/2022 8:10,770,=
